,preco,quartos,area,zona,tipo
1,7800.0,4.0,1000.0,oeste,Casa
3,12000.0,4.0,1200.0,norte,Casa
4,4860.0,3.0,1200.0,leste,Casa
5,12000.0,4.0,1250.0,sul,Casa
7,600.0,1.0,12.0,norte,Apartamento
8,1200.0,1.0,12.0,oeste,Apartamento
9,980.0,1.0,12.0,oeste,Apartamento
10,980.0,1.0,12.0,oeste,Apartamento
11,980.0,1.0,12.0,oeste,Apartamento
12,760.0,1.0,16.0,norte,Casa
13,1100.0,1.0,17.0,oeste,Apartamento
14,4125.0,1.0,18.0,sul,Apartamento
16,1150.0,1.0,18.0,leste,Apartamento
17,4200.0,1.0,18.0,oeste,Apartamento
18,756.0,1.0,19.0,norte,Apartamento
19,2410.0,1.0,20.0,sul,Apartamento
20,1152.0,1.0,20.0,norte,Apartamento
21,1450.0,1.0,20.0,norte,Apartamento
23,1300.0,1.0,20.0,norte,Apartamento
24,730.0,1.0,20.0,norte,Casa
25,580.0,1.0,20.0,norte,Apartamento
26,807.0,1.0,20.0,norte,Casa
27,670.0,1.0,20.0,norte,Casa
28,700.0,1.0,20.0,leste,Casa
29,850.0,1.0,20.0,leste,Casa
30,3250.0,1.0,20.0,oeste,Apartamento
31,2900.0,1.0,20.0,oeste,Apartamento
32,2400.0,1.0,21.0,sul,Apartamento
33,3160.0,1.0,21.0,sul,Apartamento
34,1000.0,1.0,21.0,oeste,Apartamento
35,850.0,1.0,21.0,oeste,Apartamento
36,3300.0,1.0,22.0,sul,Apartamento
37,1500.0,1.0,22.0,leste,Apartamento
38,3300.0,1.0,23.0,sul,Apartamento
39,3400.0,1.0,23.0,sul,Apartamento
40,750.0,1.0,23.0,norte,Apartamento
41,670.0,1.0,23.0,norte,Casa
42,2400.0,1.0,23.0,leste,Apartamento
43,2000.0,1.0,23.0,leste,Apartamento
44,2300.0,1.0,23.0,oeste,Apartamento
45,2300.0,1.0,23.0,oeste,Apartamento
46,2300.0,1.0,23.0,oeste,Apartamento
47,2300.0,1.0,23.0,oeste,Apartamento
48,2300.0,1.0,23.0,oeste,Apartamento
49,600.0,1.0,23.0,oeste,Apartamento
50,2500.0,1.0,23.0,oeste,Apartamento
51,2350.0,1.0,24.0,sul,Apartamento
52,2300.0,1.0,24.0,sul,Apartamento
53,3300.0,1.0,24.0,sul,Apartamento
55,1640.0,1.0,24.0,norte,Apartamento
56,1640.0,1.0,24.0,norte,Apartamento
57,1600.0,1.0,24.0,norte,Apartamento
58,1700.0,1.0,24.0,norte,Apartamento
59,1600.0,1.0,24.0,norte,Apartamento
60,2400.0,1.0,24.0,leste,Apartamento
61,2500.0,1.0,24.0,leste,Apartamento
62,1379.0,1.0,24.0,leste,Apartamento
63,1300.0,1.0,24.0,leste,Apartamento
64,2300.0,1.0,24.0,oeste,Apartamento
65,2300.0,1.0,24.0,oeste,Apartamento
66,2400.0,1.0,24.0,oeste,Apartamento
67,2300.0,1.0,24.0,oeste,Apartamento
68,2300.0,1.0,24.0,oeste,Apartamento
69,2300.0,1.0,24.0,oeste,Apartamento
70,2300.0,1.0,24.0,oeste,Apartamento
71,2300.0,1.0,24.0,oeste,Apartamento
72,2300.0,1.0,24.0,oeste,Apartamento
73,2950.0,1.0,24.0,oeste,Apartamento
74,1600.0,1.0,24.0,oeste,Apartamento
75,900.0,1.0,24.0,oeste,Apartamento
76,3200.0,1.0,25.0,sul,Apartamento
77,3300.0,1.0,25.0,sul,Apartamento
78,2300.0,1.0,25.0,sul,Apartamento
79,2500.0,1.0,25.0,sul,Apartamento
80,2300.0,1.0,25.0,norte,Apartamento
81,2350.0,1.0,25.0,norte,Apartamento
82,2300.0,1.0,25.0,norte,Apartamento
83,2350.0,1.0,25.0,norte,Apartamento
84,500.0,1.0,25.0,norte,Casa
85,800.0,1.0,25.0,norte,Apartamento
86,850.0,1.0,25.0,norte,Casa
87,1000.0,1.0,25.0,norte,Casa
88,2280.0,1.0,25.0,norte,Apartamento
89,640.0,1.0,25.0,norte,Casa
90,690.0,1.0,25.0,norte,Casa
91,860.0,1.0,25.0,norte,Casa
92,2400.0,1.0,25.0,leste,Apartamento
93,659.0,1.0,25.0,leste,Casa
94,1400.0,1.0,25.0,leste,Apartamento
95,1500.0,2.0,25.0,leste,Casa
96,2310.0,1.0,25.0,oeste,Apartamento
97,2300.0,1.0,25.0,oeste,Apartamento
98,3200.0,1.0,25.0,oeste,Apartamento
99,3200.0,1.0,25.0,oeste,Apartamento
100,3200.0,1.0,25.0,oeste,Apartamento
101,2300.0,1.0,25.0,oeste,Apartamento
102,3200.0,1.0,25.0,oeste,Apartamento
103,3200.0,1.0,25.0,oeste,Apartamento
104,2300.0,1.0,25.0,oeste,Apartamento
105,3200.0,1.0,25.0,oeste,Apartamento
106,3186.0,1.0,25.0,oeste,Apartamento
107,2290.0,1.0,25.0,oeste,Apartamento
108,2138.0,1.0,25.0,oeste,Apartamento
109,3400.0,1.0,25.0,oeste,Apartamento
110,2300.0,1.0,25.0,oeste,Apartamento
111,3000.0,1.0,25.0,oeste,Apartamento
112,4500.0,1.0,25.0,oeste,Apartamento
113,2100.0,1.0,25.0,oeste,Apartamento
114,2100.0,1.0,25.0,oeste,Apartamento
115,2100.0,1.0,25.0,oeste,Apartamento
116,3300.0,1.0,26.0,sul,Apartamento
117,2399.0,1.0,26.0,sul,Apartamento
118,2400.0,1.0,26.0,sul,Apartamento
119,3300.0,1.0,26.0,sul,Apartamento
120,2500.0,1.0,26.0,sul,Apartamento
123,2400.0,1.0,26.0,norte,Apartamento
124,2270.0,1.0,26.0,norte,Apartamento
125,800.0,1.0,26.0,norte,Casa
126,840.0,1.0,26.0,norte,Casa
127,850.0,1.0,26.0,norte,Apartamento
128,1955.0,1.0,26.0,norte,Apartamento
129,910.0,1.0,26.0,norte,Casa
130,2500.0,1.0,26.0,leste,Apartamento
131,2400.0,1.0,27.0,sul,Apartamento
132,2300.0,1.0,27.0,sul,Apartamento
133,2460.0,1.0,27.0,sul,Apartamento
134,2450.0,1.0,27.0,sul,Apartamento
135,3150.0,1.0,27.0,sul,Apartamento
136,4100.0,1.0,27.0,sul,Apartamento
137,2350.0,1.0,27.0,sul,Apartamento
138,2250.0,1.0,27.0,sul,Apartamento
140,700.0,1.0,27.0,norte,Casa
141,865.0,1.0,27.0,norte,Apartamento
142,950.0,1.0,27.0,leste,Apartamento
143,1180.0,1.0,27.0,leste,Apartamento
144,1180.0,1.0,27.0,leste,Apartamento
145,3200.0,1.0,27.0,oeste,Apartamento
146,1300.0,1.0,27.0,oeste,Apartamento
147,2952.0,1.0,27.0,oeste,Apartamento
148,2346.0,1.0,28.0,sul,Apartamento
149,2400.0,1.0,28.0,sul,Apartamento
150,2400.0,1.0,28.0,sul,Apartamento
151,1800.0,1.0,28.0,norte,Apartamento
152,690.0,1.0,28.0,norte,Casa
153,1300.0,1.0,28.0,leste,Apartamento
154,800.0,1.0,28.0,leste,Apartamento
155,1300.0,1.0,28.0,leste,Apartamento
156,950.0,1.0,28.0,leste,Apartamento
157,1135.0,1.0,28.0,leste,Apartamento
158,2500.0,1.0,28.0,oeste,Apartamento
159,3200.0,1.0,28.0,oeste,Apartamento
160,1200.0,1.0,28.0,oeste,Apartamento
161,2700.0,1.0,28.0,oeste,Apartamento
162,1400.0,1.0,28.0,oeste,Apartamento
163,3000.0,1.0,28.0,oeste,Apartamento
164,2450.0,1.0,29.0,sul,Apartamento
165,2350.0,1.0,29.0,sul,Apartamento
166,2399.0,1.0,29.0,sul,Apartamento
167,2500.0,1.0,29.0,sul,Apartamento
168,3201.0,1.0,29.0,sul,Apartamento
169,1100.0,1.0,29.0,norte,Apartamento
170,900.0,1.0,29.0,norte,Casa
172,999.0,2.0,29.0,leste,Apartamento
173,757.0,1.0,29.0,leste,Casa
174,6000.0,1.0,29.0,oeste,Apartamento
175,2850.0,1.0,29.0,oeste,Apartamento
176,2616.0,1.0,29.0,oeste,Apartamento
178,2430.0,1.0,30.0,sul,Apartamento
179,2350.0,1.0,30.0,sul,Apartamento
180,3300.0,1.0,30.0,sul,Apartamento
181,2360.0,1.0,30.0,sul,Apartamento
182,3364.0,1.0,30.0,sul,Apartamento
183,3255.0,1.0,30.0,sul,Apartamento
185,3200.0,1.0,30.0,norte,Apartamento
186,1300.0,2.0,30.0,norte,Apartamento
187,1260.0,1.0,30.0,norte,Apartamento
189,1200.0,1.0,30.0,norte,Apartamento
190,1200.0,1.0,30.0,norte,Apartamento
191,850.0,1.0,30.0,norte,Apartamento
192,700.0,1.0,30.0,norte,Casa
193,1300.0,1.0,30.0,norte,Apartamento
194,1300.0,1.0,30.0,norte,Apartamento
195,1700.0,1.0,30.0,norte,Apartamento
196,1000.0,1.0,30.0,norte,Casa
197,1700.0,1.0,30.0,norte,Apartamento
198,1700.0,1.0,30.0,norte,Apartamento
199,1700.0,1.0,30.0,norte,Apartamento
200,1400.0,1.0,30.0,norte,Apartamento
201,1700.0,1.0,30.0,norte,Apartamento
202,1200.0,1.0,30.0,norte,Apartamento
203,650.0,1.0,30.0,norte,Casa
204,650.0,1.0,30.0,norte,Casa
205,700.0,1.0,30.0,norte,Casa
206,750.0,1.0,30.0,norte,Casa
207,780.0,1.0,30.0,norte,Casa
208,720.0,1.0,30.0,norte,Casa
209,750.0,1.0,30.0,norte,Casa
210,730.0,1.0,30.0,norte,Casa
211,650.0,1.0,30.0,norte,Casa
212,800.0,1.0,30.0,norte,Casa
213,2220.0,1.0,30.0,leste,Apartamento
214,795.0,1.0,30.0,leste,Casa
215,1500.0,1.0,30.0,leste,Apartamento
216,1500.0,1.0,30.0,leste,Apartamento
217,1365.0,1.0,30.0,leste,Apartamento
218,600.0,1.0,30.0,leste,Casa
219,986.0,2.0,30.0,leste,Apartamento
220,986.0,2.0,30.0,leste,Apartamento
221,729.0,1.0,30.0,leste,Apartamento
222,750.0,1.0,30.0,leste,Casa
223,750.0,1.0,30.0,leste,Casa
224,630.0,1.0,30.0,leste,Casa
225,500.0,1.0,30.0,leste,Casa
226,1000.0,1.0,30.0,leste,Apartamento
227,1800.0,1.0,30.0,leste,Apartamento
228,1200.0,1.0,30.0,leste,Casa
229,1132.0,1.0,30.0,leste,Casa
230,1890.0,1.0,30.0,leste,Apartamento
231,1500.0,1.0,30.0,leste,Apartamento
232,1500.0,1.0,30.0,leste,Apartamento
233,1500.0,1.0,30.0,leste,Apartamento
234,1100.0,1.0,30.0,leste,Apartamento
235,2300.0,1.0,30.0,oeste,Apartamento
236,4050.0,1.0,30.0,oeste,Apartamento
237,3240.0,1.0,30.0,oeste,Apartamento
238,1018.0,1.0,30.0,oeste,Casa
239,1105.0,1.0,30.0,oeste,Apartamento
240,1500.0,1.0,30.0,oeste,Apartamento
241,2900.0,1.0,30.0,oeste,Apartamento
242,2480.0,1.0,31.0,sul,Apartamento
243,3300.0,1.0,31.0,sul,Apartamento
244,4140.0,1.0,31.0,sul,Apartamento
245,998.0,1.0,31.0,sul,Apartamento
247,1000.0,1.0,31.0,sul,Apartamento
248,1900.0,1.0,31.0,norte,Apartamento
249,1150.0,2.0,31.0,leste,Apartamento
250,2450.0,1.0,31.0,oeste,Apartamento
251,3310.0,1.0,31.0,oeste,Apartamento
252,3300.0,1.0,31.0,oeste,Apartamento
253,3300.0,1.0,31.0,oeste,Apartamento
254,2400.0,1.0,31.0,oeste,Apartamento
255,1653.0,1.0,31.0,oeste,Apartamento
256,1500.0,1.0,31.0,oeste,Apartamento
257,1500.0,1.0,31.0,oeste,Apartamento
258,1700.0,1.0,31.0,oeste,Apartamento
259,3400.0,1.0,31.0,oeste,Apartamento
260,1400.0,1.0,31.0,oeste,Apartamento
261,4000.0,1.0,31.0,oeste,Apartamento
262,4000.0,1.0,31.0,oeste,Apartamento
263,3300.0,1.0,32.0,sul,Apartamento
264,2400.0,1.0,32.0,sul,Apartamento
265,3200.0,1.0,32.0,sul,Apartamento
266,2300.0,1.0,32.0,sul,Apartamento
267,2300.0,1.0,32.0,sul,Apartamento
268,3360.0,1.0,32.0,sul,Apartamento
269,3300.0,1.0,32.0,sul,Apartamento
270,1200.0,2.0,32.0,sul,Apartamento
271,1100.0,1.0,32.0,sul,Apartamento
272,2310.0,1.0,32.0,norte,Apartamento
273,1099.0,1.0,32.0,norte,Apartamento
274,1100.0,2.0,32.0,norte,Apartamento
275,1600.0,1.0,32.0,norte,Apartamento
276,1100.0,2.0,32.0,norte,Apartamento
277,1100.0,2.0,32.0,norte,Apartamento
278,800.0,1.0,32.0,norte,Casa
279,1100.0,1.0,32.0,norte,Apartamento
280,1000.0,2.0,32.0,leste,Apartamento
281,2300.0,1.0,32.0,leste,Apartamento
282,1200.0,1.0,32.0,leste,Apartamento
283,987.0,2.0,32.0,leste,Apartamento
284,1350.0,1.0,32.0,leste,Apartamento
285,1050.0,1.0,32.0,leste,Apartamento
286,2230.0,1.0,32.0,oeste,Apartamento
287,3300.0,1.0,32.0,oeste,Apartamento
288,5000.0,1.0,32.0,oeste,Apartamento
289,2400.0,1.0,32.0,oeste,Apartamento
290,3300.0,1.0,32.0,oeste,Apartamento
291,3200.0,1.0,32.0,oeste,Apartamento
292,1800.0,1.0,32.0,oeste,Apartamento
293,1200.0,2.0,32.0,oeste,Apartamento
294,1180.0,2.0,32.0,oeste,Apartamento
295,1764.0,1.0,32.0,oeste,Apartamento
296,3900.0,1.0,32.0,oeste,Apartamento
297,2100.0,1.0,33.0,sul,Apartamento
298,2427.0,1.0,33.0,sul,Apartamento
299,2290.0,1.0,33.0,sul,Apartamento
300,3200.0,1.0,33.0,sul,Apartamento
301,3326.0,1.0,33.0,sul,Apartamento
302,3350.0,1.0,33.0,sul,Apartamento
303,2660.0,2.0,33.0,sul,Apartamento
304,3170.0,1.0,33.0,sul,Apartamento
305,3170.0,1.0,33.0,sul,Apartamento
307,2400.0,1.0,33.0,sul,Apartamento
308,3300.0,1.0,33.0,sul,Apartamento
309,3300.0,1.0,33.0,sul,Apartamento
310,1265.0,1.0,33.0,norte,Apartamento
311,500.0,1.0,33.0,norte,Apartamento
312,2220.0,1.0,33.0,leste,Apartamento
313,2290.0,1.0,33.0,leste,Apartamento
314,2220.0,1.0,33.0,leste,Apartamento
316,1800.0,1.0,33.0,leste,Apartamento
317,1000.0,2.0,33.0,leste,Apartamento
318,3000.0,1.0,33.0,leste,Apartamento
319,1300.0,1.0,33.0,leste,Apartamento
320,1300.0,1.0,33.0,leste,Apartamento
321,1150.0,1.0,33.0,leste,Apartamento
322,2300.0,1.0,33.0,oeste,Apartamento
323,2380.0,1.0,33.0,oeste,Apartamento
324,4200.0,1.0,33.0,oeste,Apartamento
325,4100.0,1.0,33.0,oeste,Apartamento
326,3000.0,1.0,33.0,oeste,Apartamento
327,1150.0,2.0,33.0,oeste,Apartamento
328,1210.0,2.0,33.0,oeste,Apartamento
331,3200.0,1.0,34.0,sul,Apartamento
332,3250.0,1.0,34.0,sul,Apartamento
333,1865.0,1.0,34.0,norte,Apartamento
334,1250.0,1.0,34.0,norte,Apartamento
335,1500.0,1.0,34.0,norte,Apartamento
336,1150.0,1.0,34.0,norte,Apartamento
337,1100.0,2.0,34.0,norte,Apartamento
338,1181.0,1.0,34.0,norte,Apartamento
339,2200.0,1.0,34.0,leste,Apartamento
340,1850.0,1.0,34.0,leste,Apartamento
341,1200.0,1.0,34.0,leste,Apartamento
342,845.0,1.0,34.0,leste,Apartamento
343,1200.0,2.0,34.0,leste,Apartamento
344,1500.0,1.0,34.0,leste,Apartamento
345,2375.0,1.0,34.0,oeste,Apartamento
346,3300.0,1.0,34.0,oeste,Apartamento
347,4100.0,1.0,34.0,oeste,Apartamento
351,3000.0,1.0,34.0,oeste,Apartamento
352,2900.0,1.0,34.0,oeste,Apartamento
353,2400.0,1.0,35.0,sul,Apartamento
354,2520.0,1.0,35.0,sul,Apartamento
355,2300.0,1.0,35.0,sul,Apartamento
356,2300.0,1.0,35.0,sul,Apartamento
357,3179.0,1.0,35.0,sul,Apartamento
358,3150.0,1.0,35.0,sul,Apartamento
359,2350.0,1.0,35.0,sul,Apartamento
360,4100.0,1.0,35.0,sul,Apartamento
361,2450.0,1.0,35.0,sul,Apartamento
362,2310.0,1.0,35.0,sul,Apartamento
363,2350.0,1.0,35.0,sul,Apartamento
366,4850.0,1.0,35.0,sul,Apartamento
367,530.0,1.0,35.0,norte,Casa
368,650.0,1.0,35.0,norte,Apartamento
369,1050.0,1.0,35.0,norte,Apartamento
370,931.0,1.0,35.0,norte,Casa
371,630.0,1.0,35.0,norte,Apartamento
372,630.0,1.0,35.0,norte,Apartamento
373,630.0,1.0,35.0,norte,Apartamento
374,580.0,1.0,35.0,norte,Apartamento
375,1400.0,2.0,35.0,norte,Casa
376,820.0,1.0,35.0,norte,Apartamento
377,500.0,1.0,35.0,norte,Apartamento
378,1240.0,1.0,35.0,norte,Casa
379,900.0,1.0,35.0,norte,Casa
380,1020.0,1.0,35.0,norte,Apartamento
381,900.0,1.0,35.0,norte,Apartamento
