preço,quartos,area,zona_norte,zona_oeste,zona_sul
1700.0,2.0,58.0,1,0,0
1350.0,2.0,28.0,1,0,0
1000.0,3.0,55.0,1,0,0
1100.0,2.0,46.0,1,0,0
1650.0,2.0,45.0,1,0,0
7500.0,3.0,151.0,1,0,0
1100.0,2.0,50.0,1,0,0
1200.0,1.0,70.0,1,0,0
1400.0,3.0,74.0,1,0,0
1840.0,3.0,117.0,1,0,0
3500.0,4.0,158.0,1,0,0
3179.0,3.0,230.0,1,0,0
1940.0,2.0,62.0,1,0,0
2000.0,3.0,90.0,1,0,0
1900.0,2.0,90.0,1,0,0
1830.0,2.0,75.0,1,0,0
1300.0,2.0,65.0,1,0,0
1649.0,2.0,50.0,1,0,0
1700.0,2.0,52.0,1,0,0
2000.0,3.0,124.0,1,0,0
1390.0,1.0,59.0,1,0,0
1710.0,2.0,63.0,1,0,0
3080.0,3.0,120.0,1,0,0
1100.0,1.0,40.0,1,0,0
1400.0,2.0,48.0,1,0,0
1600.0,2.0,106.0,1,0,0
2058.0,3.0,160.0,1,0,0
3500.0,3.0,172.0,1,0,0
1050.0,2.0,58.0,1,0,0
1590.0,3.0,60.0,1,0,0
1100.0,1.0,40.0,1,0,0
1210.0,1.0,55.0,1,0,0
1500.0,2.0,71.0,1,0,0
1300.0,2.0,62.0,1,0,0
1370.0,2.0,53.0,1,0,0
2920.0,3.0,90.0,1,0,0
1300.0,2.0,62.0,1,0,0
1715.0,2.0,67.0,1,0,0
1550.0,2.0,62.0,1,0,0
1250.0,2.0,63.0,1,0,0
3190.0,2.0,65.0,1,0,0
1700.0,3.0,78.0,1,0,0
3000.0,3.0,96.0,1,0,0
2500.0,2.0,85.0,1,0,0
2297.0,3.0,60.0,1,0,0
2500.0,2.0,250.0,1,0,0
4400.0,3.0,79.0,1,0,0
2000.0,2.0,278.0,1,0,0
2300.0,2.0,50.0,1,0,0
4400.0,6.0,190.0,1,0,0
1870.0,3.0,66.0,1,0,0
1600.0,2.0,48.0,1,0,0
1650.0,3.0,70.0,1,0,0
1431.0,2.0,52.0,1,0,0
1430.0,3.0,56.0,1,0,0
1700.0,3.0,72.0,1,0,0
1340.0,1.0,34.0,1,0,0
1330.0,1.0,34.0,1,0,0
2200.0,2.0,64.0,1,0,0
3000.0,2.0,150.0,1,0,0
2200.0,2.0,52.0,1,0,0
1680.0,1.0,43.0,1,0,0
1430.0,2.0,52.0,1,0,0
1650.0,2.0,70.0,1,0,0
4400.0,2.0,940.0,1,0,0
1280.0,1.0,34.0,1,0,0
1290.0,1.0,34.0,1,0,0
1320.0,2.0,58.0,1,0,0
2000.0,2.0,64.0,1,0,0
3900.0,4.0,182.0,1,0,0
1150.0,1.0,35.0,1,0,0
1662.0,1.0,20.0,1,0,0
3000.0,1.0,42.0,1,0,0
1340.0,2.0,52.0,1,0,0
1600.0,2.0,90.0,1,0,0
4196.0,3.0,217.0,1,0,0
2500.0,3.0,176.0,1,0,0
2244.0,3.0,87.0,1,0,0
3000.0,2.0,90.0,1,0,0
1665.0,2.0,140.0,1,0,0
2300.0,2.0,72.0,1,0,0
1900.0,2.0,100.0,1,0,0
1430.0,1.0,80.0,1,0,0
1900.0,2.0,50.0,1,0,0
1500.0,1.0,105.0,1,0,0
1870.0,1.0,41.0,1,0,0
2100.0,4.0,220.0,1,0,0
2660.0,3.0,100.0,1,0,0
1700.0,2.0,65.0,1,0,0
3400.0,2.0,70.0,1,0,0
3800.0,2.0,75.0,1,0,0
1720.0,2.0,51.0,1,0,0
1720.0,2.0,37.0,1,0,0
2060.0,2.0,96.0,1,0,0
1410.0,2.0,70.0,1,0,0
1980.0,2.0,65.0,1,0,0
2300.0,1.0,49.0,1,0,0
1190.0,2.0,80.0,1,0,0
1500.0,2.0,40.0,1,0,0
2330.0,3.0,77.0,1,0,0
1350.0,2.0,100.0,1,0,0
1650.0,2.0,85.0,1,0,0
1655.0,2.0,53.0,1,0,0
2130.0,2.0,57.0,1,0,0
1700.0,2.0,50.0,1,0,0
1070.0,2.0,60.0,1,0,0
1460.0,3.0,70.0,1,0,0
8500.0,4.0,320.0,1,0,0
1500.0,2.0,61.0,1,0,0
2050.0,2.0,62.0,1,0,0
6500.0,2.0,90.0,1,0,0
1010.0,1.0,60.0,1,0,0
1700.0,2.0,50.0,1,0,0
3500.0,1.0,48.0,1,0,0
1550.0,2.0,51.0,1,0,0
1550.0,2.0,37.0,1,0,0
1870.0,2.0,54.0,1,0,0
3500.0,4.0,143.0,1,0,0
1268.0,2.0,62.0,1,0,0
1000.0,2.0,50.0,1,0,0
1100.0,1.0,70.0,1,0,0
1050.0,1.0,25.0,1,0,0
1800.0,3.0,200.0,1,0,0
1650.0,3.0,62.0,1,0,0
1100.0,1.0,45.0,1,0,0
1162.0,1.0,70.0,1,0,0
2200.0,2.0,110.0,1,0,0
1800.0,2.0,45.0,1,0,0
1050.0,1.0,25.0,1,0,0
1500.0,1.0,38.0,1,0,0
1339.0,1.0,62.0,1,0,0
1200.0,2.0,75.0,1,0,0
1240.0,2.0,50.0,1,0,0
1310.0,3.0,97.0,1,0,0
1500.0,2.0,56.0,1,0,0
1300.0,2.0,54.0,1,0,0
1300.0,2.0,50.0,1,0,0
1850.0,3.0,102.0,1,0,0
1400.0,2.0,50.0,1,0,0
1280.0,2.0,50.0,1,0,0
2000.0,1.0,28.0,1,0,0
1550.0,3.0,72.0,1,0,0
1200.0,2.0,65.0,1,0,0
1000.0,2.0,50.0,1,0,0
1080.0,3.0,63.0,1,0,0
2080.0,3.0,105.0,1,0,0
1810.0,3.0,60.0,1,0,0
1500.0,2.0,47.0,1,0,0
1600.0,2.0,70.0,1,0,0
1300.0,1.0,56.0,1,0,0
1450.0,2.0,52.0,1,0,0
2200.0,1.0,42.0,1,0,0
1095.0,3.0,78.0,1,0,0
1500.0,2.0,85.0,1,0,0
1269.0,2.0,72.0,1,0,0
1150.0,2.0,58.0,1,0,0
7200.0,3.0,440.0,1,0,0
2800.0,1.0,90.0,1,0,0
2660.0,2.0,68.0,1,0,0
